"state_name","district_name","area_sq_km","perimeter_km","bbox_xmin","bbox_ymin","bbox_xmax","bbox_ymax","centroid_lon","centroid_lat","num_vertices","compactness"
"Andaman & Nicobar","Andamans",5158.60865311482,2963.70605394765,68.1061138,6.76044369281943,97.4115971,37.0872939917106,92.7731463395363,12.2780083924092,2411,0.00738026900409056
"Andaman & Nicobar","Nicobars",1646.08224811015,717.305203487868,68.1061138,6.76044369281943,97.4115971,37.0872939917106,93.5972787669748,7.50396775194921,506,0.0402025344502226
"Andhra Pradesh","Anantapur",19138.3632120486,1372.55140230247,68.1061138,6.76044369281943,97.4115971,37.0872939917106,77.5730384075989,14.4815760176107,777,0.127660758599341
"Andhra Pradesh","Chittoor",15017.6762490376,1225.74275572264,68.1061138,6.76044369281943,97.4115971,37.0872939917106,79.0063539137225,13.4648426188323,830,0.125607025499765
"Andhra Pradesh","East godavari",13000.6854259154,932.455421391997,68.1061138,6.76044369281943,97.4115971,37.0872939917106,81.9026240616517,17.2655000902973,502,0.187897048088102
"Andhra Pradesh","Guntur",11402.7739662775,783.95076638751,68.1061138,6.76044369281943,97.4115971,37.0872939917106,80.079348027528,16.292555874857,375,0.233153962895428
"Andhra Pradesh","Kadapa",15369.1650484127,779.119129075713,68.1061138,6.76044369281943,97.4115971,37.0872939917106,78.7811009467184,14.4641480501677,405,0.318165000561748
"Andhra Pradesh","Krishna",8762.08693973829,813.715372893648,68.1061138,6.76044369281943,97.4115971,37.0872939917106,80.7981305904405,16.5563931552401,412,0.166292391986941
"Andhra Pradesh","Kurnool",17654.6045718621,887.530700564354,68.1061138,6.76044369281943,97.4115971,37.0872939917106,77.9991398107502,15.5325090039441,432,0.281644379824351
"Andhra Pradesh","Prakasam",17634.9481046113,835.596351791578,68.1061138,6.76044369281943,97.4115971,37.0872939917106,79.5151831424797,15.6163794805306,390,0.31738834858013
"Andhra Pradesh","Spsr nellore",13176.489448597,675.311974880782,68.1061138,6.76044369281943,97.4115971,37.0872939917106,79.7393487926232,14.4185128444791,324,0.363078624011705
"Andhra Pradesh","Srikakulam",5804.16673312631,655.351646478161,68.1061138,6.76044369281943,97.4115971,37.0872939917106,84.0213237589997,18.597870302808,434,0.169824738281245
"Andhra Pradesh","Visakhapatanam",11537.8451984474,969.723348976754,68.1061138,6.76044369281943,97.4115971,37.0872939917106,82.6934395871026,17.8931723897015,690,0.154183843110919
"Andhra Pradesh","Vizianagaram",6165.77229654719,812.312470659204,68.1061138,6.76044369281943,97.4115971,37.0872939917106,83.383491117357,18.4716516796075,599,0.117422441158948
"Andhra Pradesh","West godavari",8565.65203350281,692.781598032312,68.1061138,6.76044369281943,97.4115971,37.0872939917106,81.3800546345721,16.9476352180658,385,0.224273316533175
"Arunachal Pradesh","Anjaw",6041.7546873618,400.791470083301,68.1061138,6.76044369281943,97.4115971,37.0872939917106,96.8480955090163,28.0741539124159,186,0.472646027080331
"Arunachal Pradesh","Changlang",5102.18713116868,558.143886581161,68.1061138,6.76044369281943,97.4115971,37.0872939917106,96.3343782359705,27.3603269173588,304,0.20581352104899
"Arunachal Pradesh","Dibang Valley",8889.68049268983,570.679284440606,68.1061138,6.76044369281943,97.4115971,37.0872939917106,95.9204706894143,28.8962402621138,250,0.343013963752167
"Arunachal Pradesh","East Kameng",6286.52042260884,493.508188583714,68.1061138,6.76044369281943,97.4115971,37.0872939917106,92.9575794523042,27.4424729182563,266,0.324363119491187
"Arunachal Pradesh","East Siang",3848.30212612146,395.4755505701,68.1061138,6.76044369281943,97.4115971,37.0872939917106,95.1544205112199,28.121005801414,194,0.309200185683978
"Arunachal Pradesh","Kurung Kumey",6851.93597287436,428.865109658315,68.1061138,6.76044369281943,97.4115971,37.0872939917106,93.384257071867,27.9956479777245,225,0.468146443993871
"Arunachal Pradesh","Lohit",4454.65677331054,389.609647617033,68.1061138,6.76044369281943,97.4115971,37.0872939917106,96.2231273419565,27.8598693230543,205,0.368777747094848
"Arunachal Pradesh","Lower Dibang Valley",4109.58537580658,368.574776640355,68.1061138,6.76044369281943,97.4115971,37.0872939917106,95.8181997498416,28.2891739323732,168,0.380151448155825
"Arunachal Pradesh","Lower Subansiri",2755.68319877329,319.687955025243,68.1061138,6.76044369281943,97.4115971,37.0872939917106,93.923333777801,27.6141243833687,186,0.338833705526036
"Arunachal Pradesh","Papum Pare",3414.65055217589,412.006936107153,68.1061138,6.76044369281943,97.4115971,37.0872939917106,93.5936662863169,27.2683383907259,230,0.252782540789263
"Arunachal Pradesh","Tawang",2446.7774032172,296.440751095994,68.1061138,6.76044369281943,97.4115971,37.0872939917106,91.9614068781529,27.6601783373329,145,0.349887570745597
"Arunachal Pradesh","Tirap",1975.08816590644,240.065994775347,68.1061138,6.76044369281943,97.4115971,37.0872939917106,95.4315054910341,26.9442785806127,148,0.430660516805685
"Arunachal Pradesh","Upper Siang",6573.32338986597,477.359099696645,68.1061138,6.76044369281943,97.4115971,37.0872939917106,94.9290324164309,28.8311692988217,231,0.362497028973824
"Arunachal Pradesh","Upper Subansiri",6303.65947916883,464.600598156537,68.1061138,6.76044369281943,97.4115971,37.0872939917106,93.930645851385,28.288575475999,241,0.366980577312044
"Arunachal Pradesh","West Kameng",4921.3481807768,362.976571917583,68.1061138,6.76044369281943,97.4115971,37.0872939917106,92.393263594481,27.289842554704,190,0.4693931707242
"Arunachal Pradesh","West Siang",8117.15817754366,580.394433613378,68.1061138,6.76044369281943,97.4115971,37.0872939917106,94.4959668106749,28.341005080649,320,0.302808035641129
