"state_name","district_name","area_sq_km","perimeter_km","bbox_xmin","bbox_ymin","bbox_xmax","bbox_ymax","centroid_lon","centroid_lat","num_vertices","compactness"
"Andaman & Nicobar Islands","Nicobars",1681.86937020317,552.050806553147,68.1632453,6.75541679282425,97.3941649,37.0883417917111,93.6219383251545,7.48998041980732,148,0.0693496107766437
"Andaman & Nicobar Islands","North & Middle Andaman",3439.47266892337,882.842734841548,68.1632453,6.75541679282425,97.3941649,37.0883417917111,92.8754187189901,12.8289781266979,393,0.0554542750185018
"Andaman & Nicobar Islands","South Andaman",2481.87663508523,761.573520408351,68.1632453,6.75541679282425,97.3941649,37.0883417917111,92.6428482587772,11.4743385513535,253,0.0537732621540208
"Andhra Pradesh","Anantapur",19234.7386690961,1182.78361735262,68.1632453,6.75541679282425,97.3941649,37.0883417917111,77.5706648437674,14.474791549025,254,0.172776850525513
"Andhra Pradesh","Chittoor",15171.8414064434,1001.84643714151,68.1632453,6.75541679282425,97.3941649,37.0883417917111,79.0030802425295,13.4562040055081,243,0.189952862363226
"Andhra Pradesh","East Godavari",10815.5003593113,671.441735125191,68.1632453,6.75541679282425,97.3941649,37.0883417917111,82.0028578567701,17.1828745287924,119,0.301467025089239
"Andhra Pradesh","Guntur",11369.5439538647,685.657656363891,68.1632453,6.75541679282425,97.3941649,37.0883417917111,80.0811491636631,16.2914110217027,107,0.303905282571921
"Andhra Pradesh","Krishna",8686.54471325493,748.174000422369,68.1632453,6.75541679282425,97.3941649,37.0883417917111,80.7960568037666,16.5469033848126,143,0.19500767272517
"Andhra Pradesh","Kurnool",17800.3008334394,789.913224871546,68.1632453,6.75541679282425,97.3941649,37.0883417917111,78.0014330960108,15.5270838010638,132,0.358491147961913
"Andhra Pradesh","Prakasam",17820.4044984152,738.2520229739,68.1632453,6.75541679282425,97.3941649,37.0883417917111,79.5120553823312,15.6105435247144,124,0.410882959613968
"Andhra Pradesh","Sri Potti Sriramulu Nellore",13354.1882907022,619.277156665445,68.1632453,6.75541679282425,97.3941649,37.0883417917111,79.7306242900974,14.4158219388718,109,0.437579772866415
"Andhra Pradesh","Srikakulam",5828.23968838571,543.140167616589,68.1632453,6.75541679282425,97.3941649,37.0883417917111,84.0196841269979,18.5924121099278,115,0.248269531127505
"Andhra Pradesh","Visakhapatnam",11415.693043783,805.605933640668,68.1632453,6.75541679282425,97.3941649,37.0883417917111,82.6820995272398,17.8836538209834,159,0.22103794481194
"Andhra Pradesh","Vizianagaram",6233.7054155038,662.468243818311,68.1632453,6.75541679282425,97.3941649,37.0883417917111,83.3791847287788,18.4545809664447,154,0.178494981319371
"Andhra Pradesh","West Godavari",7785.31160814134,463.428605083357,68.1632453,6.75541679282425,97.3941649,37.0883417917111,81.3924203810181,16.8878688590866,76,0.455533362885393
"Andhra Pradesh","Y.S.R.",15116.0627946011,682.442353418536,68.1632453,6.75541679282425,97.3941649,37.0883417917111,78.7750742989918,14.4495427084397,110,0.407865158261131
"Arunachal Pradesh","Anjaw",6991.28324410896,377.853233310954,68.1632453,6.75541679282425,97.3941649,37.0883417917111,96.8155768612455,28.1033449980728,58,0.61534754995372
"Arunachal Pradesh","Changlang",5093.35224877686,493.106788160625,68.1632453,6.75541679282425,97.3941649,37.0883417917111,96.3478891089456,27.3673519515089,74,0.263227715221014
"Arunachal Pradesh","Dibang Valley",9728.52472351863,512.208159550069,68.1632453,6.75541679282425,97.3941649,37.0883417917111,95.9015744451816,28.8472729784577,95,0.465976339921126
"Arunachal Pradesh","East Kameng",6337.59062156349,454.784249666167,68.1632453,6.75541679282425,97.3941649,37.0883417917111,92.9519841969077,27.4469880799809,78,0.385055397342299
"Arunachal Pradesh","East Siang",2176.05421194131,255.901271114586,68.1632453,6.75541679282425,97.3941649,37.0883417917111,95.2652779386296,28.0056566687444,34,0.417575191060113
"Arunachal Pradesh","Kra Daadi",2426.20117044865,245.619771786572,68.1632453,6.75541679282425,97.3941649,37.0883417917111,93.7002338164603,27.9814110877703,44,0.50537066018577
"Arunachal Pradesh","Kurung Kumey",4473.57621432353,326.624686135271,68.1632453,6.75541679282425,97.3941649,37.0883417917111,93.1993236231552,28.0127983060411,57,0.526946705752718
"Arunachal Pradesh","Lohit",2557.88450226451,374.414657857897,68.1632453,6.75541679282425,97.3941649,37.0883417917111,96.2832665611121,27.9397609268144,45,0.229289997563388
"Arunachal Pradesh","Longding",941.587841276159,165.334971417858,68.1632453,6.75541679282425,97.3941649,37.0883417917111,95.336129023586,26.8576423813909,30,0.432853821980633
"Arunachal Pradesh","Lower Dibang Valley",3642.64930329344,376.168647192298,68.1632453,6.75541679282425,97.3941649,37.0883417917111,95.8551688180915,28.2566161823818,50,0.323490875255314
"Arunachal Pradesh","Lower Subansiri",2707.67978499549,278.244313149503,68.1632453,6.75541679282425,97.3941649,37.0883417917111,93.940909047921,27.6266705706603,44,0.439495641949101
"Arunachal Pradesh","Namsai",1304.81273009848,159.668306192692,68.1632453,6.75541679282425,97.3941649,37.0883417917111,96.0475217366894,27.7067872874099,23,0.64316234911646
"Arunachal Pradesh","Papum Pare",3542.72055469074,362.757014862095,68.1632453,6.75541679282425,97.3941649,37.0883417917111,93.5912343275874,27.2746115895312,58,0.3383102236613
"Arunachal Pradesh","Siang",3015.73739514547,353.120209729428,68.1632453,6.75541679282425,97.3941649,37.0883417917111,94.8220014125758,28.4133899366712,56,0.303919270274527
